#=================================================================
# Traffic
# Report suite: GC
"# Date: Apr 1, 2024 - Apr 30, 2024"
"# Segments: IRCC - EN & FR, Public traffic"
# Traffic to IRCC sites remains stable compared to last month.
#=================================================================


##############################################
# Key metric summary Data (3)
##############################################
,Page Views per Visit,Page Views per Visit
,Page Views per Visit,Month before
Day,3.370656089692418,3.104553655915553
2024-04-01,3.1654860044910293,3.3705582482039955
2024-04-02,3.2325569517891535,3.0881503308764473
2024-04-03,3.224494671348748,3.1942984712999016
2024-04-04,3.106532537444284,3.15164455362116
2024-04-05,3.042928754782777,3.103646331332939
2024-04-06,3.1682312819613294,3.0357201949399837
2024-04-07,3.538082474802468,3.016730240785732
2024-04-08,3.5078012690796885,2.975903780875655
2024-04-09,3.2276131466117888,3.047858416988532
2024-04-10,3.0458813290329187,3.1307676932302155
2024-04-11,3.0681553529590757,3.083085786389401
2024-04-12,3.10535590567266,3.130130912925161
2024-04-13,3.192711382926045,3.0197504646109485
2024-04-14,3.641248846027466,3.0174518268687955
2024-04-15,3.6659375029282812,2.989345586982646
2024-04-16,3.2316506059869896,3.0515327179261758
2024-04-17,3.2706734264729573,3.177687314505729
2024-04-18,3.2024307565297585,3.1268746814861554
2024-04-19,3.1886210229036682,3.216991550734352
2024-04-20,3.7565352378151484,3.0529721153402445
2024-04-21,4.841655773683559,3.048790859979856
2024-04-22,3.5231338265617413,3.026984550896756
2024-04-23,3.3039585885872587,3.108380371636933
2024-04-24,3.17160816072136,3.1990639711651627
2024-04-25,3.184053910836847,3.123142712183808
2024-04-26,3.142297022110818,3.076546223800029
2024-04-27,3.5303159134017923,3.052870219337911
2024-04-28,4.748456880422326,3.01765654332078
2024-04-29,3.4828344839958763,3.0912190684079732
2024-04-30,3.0948143855077097,3.0988482736462273


##############################################
# Key metric summary Data (5)
##############################################
,Page Views,Page Views
,Page Views,Month before
Day,84533129,82711177
2024-04-01,2478240,3893679
2024-04-02,3038054,2345444
2024-04-03,3050430,2365164
